population_size,iteration_number,run_number,pcrossover,pmutation,control_optimization_horizon,control_implementation_horizon,control_optimization_anticipation,control_type,optimization_aim,flexibility_event_length_max,flexibility_recover_timespan,thermal_stabilization_timespan,minimum_flexibility,flexibility_splits,Alpha_confort,month_subset
30,25,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
35,25,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
40,25,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
45,25,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
50,25,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
55,25,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
60,25,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
65,25,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
70,25,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
75,25,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
80,25,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
85,25,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
90,25,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
95,25,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
100,25,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
5,30,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
10,30,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
15,30,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
20,30,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
25,30,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
30,30,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
35,30,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
40,30,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
45,30,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
50,30,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
55,30,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
60,30,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
65,30,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
70,30,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
75,30,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
80,30,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
85,30,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
90,30,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
95,30,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
100,30,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
5,35,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
10,35,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
15,35,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
20,35,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
25,35,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
30,35,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
35,35,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
40,35,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
45,35,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
50,35,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
55,35,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
60,35,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
65,35,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
70,35,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
75,35,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
80,35,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
85,35,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
90,35,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
95,35,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
100,35,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
5,40,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
10,40,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
15,40,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
20,40,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
25,40,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
30,40,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
35,40,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
40,40,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
45,40,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
50,40,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
55,40,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
60,40,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
65,40,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
70,40,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
75,40,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
80,40,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
85,40,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
90,40,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
95,40,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
100,40,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
5,45,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
10,45,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
15,45,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
20,45,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
25,45,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
30,45,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
35,45,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
40,45,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
45,45,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
50,45,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
55,45,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
60,45,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
65,45,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
70,45,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
75,45,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
80,45,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
85,45,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
90,45,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
95,45,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
100,45,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
5,50,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
10,50,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
15,50,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
20,50,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
25,50,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
30,50,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
35,50,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
40,50,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
45,50,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
50,50,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
55,50,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
60,50,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
65,50,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
70,50,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
75,50,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
80,50,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
85,50,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
90,50,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
95,50,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
100,50,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
5,55,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
10,55,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
15,55,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
20,55,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
25,55,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
30,55,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
35,55,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
40,55,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
45,55,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
50,55,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
55,55,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
60,55,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
65,55,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
70,55,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
75,55,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
80,55,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
85,55,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
90,55,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
95,55,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
100,55,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
5,60,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
10,60,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
15,60,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
20,60,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
25,60,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
30,60,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
35,60,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
40,60,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
45,60,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
50,60,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
55,60,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
60,60,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
65,60,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
70,60,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
75,60,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
80,60,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
85,60,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
90,60,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
95,60,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
100,60,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
5,65,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
10,65,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
15,65,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
20,65,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
25,65,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
30,65,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
35,65,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
40,65,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
45,65,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
50,65,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
55,65,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
60,65,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
65,65,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
70,65,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
75,65,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
80,65,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
85,65,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
90,65,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
