time,Elec_unit_cost_buy,Elec_unit_cost_sell,Flex_unit_cost_down_com,Flex_unit_cost_down_exec,Flex_unit_cost_up_com,Flex_unit_cost_up_exec
2019-01-01 15:00:00,0.00197,0.00197,0.0004925,0.5,0.0004925,0.5
2019-01-01 15:15:00,0.00197,0.00197,0.0004925,0.5,0.0004925,0.5
2019-01-01 15:30:00,0.00197,0.00197,0.0004925,0.5,0.0004925,0.5
2019-01-01 15:45:00,0.00197,0.00197,0.0004925,0.5,0.0004925,0.5
2019-01-01 16:00:00,0.00906,0.00906,0.002265,0.5,0.002265,0.5
2019-01-01 16:15:00,0.00906,0.00906,0.002265,0.5,0.002265,0.5
2019-01-01 16:30:00,0.00906,0.00906,0.002265,0.5,0.002265,0.5
2019-01-01 16:45:00,0.00906,0.00906,0.002265,0.5,0.002265,0.5
2019-01-01 17:00:00,7e-05,7e-05,1.75e-05,0.5,1.75e-05,0.5
2019-01-01 17:15:00,7e-05,7e-05,1.75e-05,0.5,1.75e-05,0.5
2019-01-01 17:30:00,7e-05,7e-05,1.75e-05,0.5,1.75e-05,0.5
2019-01-01 17:45:00,7e-05,7e-05,1.75e-05,0.5,1.75e-05,0.5
2019-01-01 18:00:00,-0.00497,-0.00497,-0.0012425,0.5,-0.0012425,0.5
2019-01-01 18:15:00,-0.00497,-0.00497,-0.0012425,0.5,-0.0012425,0.5
2019-01-01 18:30:00,-0.00497,-0.00497,-0.0012425,0.5,-0.0012425,0.5
2019-01-01 18:45:00,-0.00497,-0.00497,-0.0012425,0.5,-0.0012425,0.5
2019-01-01 19:00:00,-0.00698,-0.00698,-0.001745,0.5,-0.001745,0.5
2019-01-01 19:15:00,-0.00698,-0.00698,-0.001745,0.5,-0.001745,0.5
2019-01-01 19:30:00,-0.00698,-0.00698,-0.001745,0.5,-0.001745,0.5
2019-01-01 19:45:00,-0.00698,-0.00698,-0.001745,0.5,-0.001745,0.5
2019-01-01 20:00:00,-0.01601,-0.01601,-0.0040025,0.5,-0.0040025,0.5
2019-01-01 20:15:00,-0.01601,-0.01601,-0.0040025,0.5,-0.0040025,0.5
2019-01-01 20:30:00,-0.01601,-0.01601,-0.0040025,0.5,-0.0040025,0.5
2019-01-01 20:45:00,-0.01601,-0.01601,-0.0040025,0.5,-0.0040025,0.5
2019-01-01 21:00:00,-0.00487,-0.00487,-0.0012175,0.5,-0.0012175,0.5
2019-01-01 21:15:00,-0.00487,-0.00487,-0.0012175,0.5,-0.0012175,0.5
2019-01-01 21:30:00,-0.00487,-0.00487,-0.0012175,0.5,-0.0012175,0.5
2019-01-01 21:45:00,-0.00487,-0.00487,-0.0012175,0.5,-0.0012175,0.5
2019-01-01 22:00:00,-0.02893,-0.02893,-0.0072325,0.5,-0.0072325,0.5
2019-01-01 22:15:00,-0.02893,-0.02893,-0.0072325,0.5,-0.0072325,0.5
2019-01-01 22:30:00,-0.02893,-0.02893,-0.0072325,0.5,-0.0072325,0.5
2019-01-01 22:45:00,-0.02893,-0.02893,-0.0072325,0.5,-0.0072325,0.5
2019-01-01 23:00:00,-0.03357,-0.03357,-0.0083925,0.5,-0.0083925,0.5
2019-01-01 23:15:00,-0.03357,-0.03357,-0.0083925,0.5,-0.0083925,0.5
2019-01-01 23:30:00,-0.03357,-0.03357,-0.0083925,0.5,-0.0083925,0.5
2019-01-01 23:45:00,-0.03357,-0.03357,-0.0083925,0.5,-0.0083925,0.5
2019-01-02,-0.045919998,-0.045919998,-0.0114799995,0.5,-0.0114799995,0.5
2019-01-02 00:15:00,-0.045919998,-0.045919998,-0.0114799995,0.5,-0.0114799995,0.5
2019-01-02 00:30:00,-0.045919998,-0.045919998,-0.0114799995,0.5,-0.0114799995,0.5
