"","HourUTC","Ti","Te","Qh","set_point_low","set_point_high","air_temperature","SpotPriceEUR","GHI","act_vent","building_occupied","mean_temp_24h","elec_heating","cost_heating","building_comfort","reward","act_heat"
"1",2019-01-01 00:00:00,20,20,0,0,0,7.28,0.01007,0,0,0,6,0,0,0,0,0
"2",2019-01-01 00:10:00,19.9833339887272,19.8542744035503,0,11.5551975525939,13.5551975525939,7.2855,0.01007,0,0,0,6,0,0,0,0,0
"3",2019-01-01 00:20:00,19.9427171763569,19.7175049079083,0,11.5551975525939,13.5551975525939,7.291,0.01007,0,0,0,6,0,0,0,0,0
"4",2019-01-01 00:30:00,19.8842952088682,19.5877472218468,0,11.5551975525939,13.5551975525939,7.2965,0.01007,0,0,0,6,0,0,0,0,0
"5",2019-01-01 00:40:00,19.8127025295929,19.4635320935046,0,11.5551975525939,13.5551975525939,7.302,0.01007,0,0,0,6,0,0,0,0,0
"6",2019-01-01 00:50:00,19.7314334128525,19.3437487053104,0,11.5551975525939,13.5551975525939,7.3075,0.01007,0,0,0,6,0,0,0,0,0
"7",2019-01-01 01:00:00,19.6431219057646,19.2275566961705,0,11.5551975525939,13.5551975525939,7.313,-0.00408,0,0,0,6,0,0,0,0,0
"8",2019-01-01 01:10:00,19.5497539158316,19.1143274236178,0,13.331958501386,15.331958501386,7.31916666666667,-0.00408,0,0,0,6,0,0,0,0,0
"9",2019-01-01 01:20:00,19.452826078356,19.0035781332429,0,13.331958501386,15.331958501386,7.32533333333333,-0.00408,0,0,0,6,0,0,0,0,0
"10",2019-01-01 01:30:00,19.3534652872869,18.894942380646,0,13.331958501386,15.331958501386,7.3315,-0.00408,0,0,0,6,0,0,0,0,0
"11",2019-01-01 01:40:00,19.2525194904192,18.7881414963931,0,13.331958501386,15.331958501386,7.33766666666667,-0.00408,0,0,0,6,0,0,0,0,0
"12",2019-01-01 01:50:00,19.1506261934791,18.6829630563659,0,13.331958501386,15.331958501386,7.34383333333333,-0.00408,0,0,0,6,0,0,0,0,0
"13",2019-01-01 02:00:00,19.04826414574,18.5792446376295,0,13.331958501386,15.331958501386,7.35,-0.00991,0,0,0,6,0,0,0,0,0
"14",2019-01-01 02:10:00,18.9457890592638,18.476832908756,0,13.5202769816387,15.5202769816387,7.35366666666667,-0.00991,0,0,0,6,0,0,0,0,0
"15",2019-01-01 02:20:00,18.8434648742308,18.3756334378639,0,13.5202769816387,15.5202769816387,7.35733333333333,-0.00991,0,0,0,6,0,0,0,0,0
"16",2019-01-01 02:30:00,18.7414885976978,18.2755729317619,0,13.5202769816387,15.5202769816387,7.361,-0.00991,0,0,0,6,0,0,0,0,0
"17",2019-01-01 02:40:00,18.6400067554756,18.1765940647124,0,13.5202769816387,15.5202769816387,7.36466666666667,-0.00991,0,0,0,6,0,0,0,0,0
"18",2019-01-01 02:50:00,18.539127804769,18.0786515766063,0,13.5202769816387,15.5202769816387,7.36833333333333,-0.00991,0,0,0,6,0,0,0,0,0
"19",2019-01-01 03:00:00,18.4389314992444,17.9817093289008,0,13.5202769816387,15.5202769816387,7.372,-0.00741,0,0,0,6,0,0,0,0,0
"20",2019-01-01 03:10:00,18.3395216138382,17.8861373209257,0,15.7742342657663,17.7742342657663,7.4105,-0.00741,0,0,0,6,0,0,0,0,0
