population_size,iteration_number,run_number,pcrossover,pmutation,control_optimization_horizon,control_implementation_horizon,control_optimization_anticipation,control_type,optimization_aim,flexibility_event_length_max,flexibility_recover_timespan,thermal_stabilization_timespan,minimum_flexibility,flexibility_splits,Alpha_Service_Min,month_subset
80,50,5,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
50,20,9,0,0.05,36,24,0,1,2,4,2,4,0.5,10,10,0
40,10,3,0,0.05,36,24,0,1,2,4,2,4,0.5,10,10,0
35,25,9,0,0.15,36,24,0,1,2,4,2,4,0.5,10,10,0
65,45,5,0,0.175,36,24,0,1,2,4,2,4,0.5,10,10,0
35,15,3,0,0.175,36,24,0,1,2,4,2,4,0.5,10,10,0
10,35,11,0,0.1,36,24,0,1,2,4,2,4,0.5,10,10,0
10,5,9,0,0.2,36,24,0,1,2,4,2,4,0.5,10,10,0
60,10,5,0,0.175,36,24,0,1,2,4,2,4,0.5,10,10,0
70,50,11,0,0.05,36,24,0,1,2,4,2,4,0.5,10,10,0
85,40,9,0,0.075,36,24,0,1,2,4,2,4,0.5,10,10,0
75,5,11,0,0.2,36,24,0,1,2,4,2,4,0.5,10,10,0
75,5,3,0,0.175,36,24,0,1,2,4,2,4,0.5,10,10,0
40,20,9,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
60,40,9,0,0.2,36,24,0,1,2,4,2,4,0.5,10,10,0
35,50,7,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
20,40,7,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
30,5,9,0,0.1,36,24,0,1,2,4,2,4,0.5,10,10,0
60,20,7,0,0.075,36,24,0,1,2,4,2,4,0.5,10,10,0
35,35,11,0,0.2,36,24,0,1,2,4,2,4,0.5,10,10,0
55,35,9,0,0.05,36,24,0,1,2,4,2,4,0.5,10,10,0
75,20,5,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
25,15,5,0,0.075,36,24,0,1,2,4,2,4,0.5,10,10,0
15,25,3,0,0.15,36,24,0,1,2,4,2,4,0.5,10,10,0
25,45,11,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
75,50,11,0,0.1,36,24,0,1,2,4,2,4,0.5,10,10,0
70,40,5,0,0.1,36,24,0,1,2,4,2,4,0.5,10,10,0
20,40,3,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
20,25,9,0,0.2,36,24,0,1,2,4,2,4,0.5,10,10,0
100,35,9,0,0.05,36,24,0,1,2,4,2,4,0.5,10,10,0
50,50,7,0,0.05,36,24,0,1,2,4,2,4,0.5,10,10,0
50,20,5,0,0.05,36,24,0,1,2,4,2,4,0.5,10,10,0
95,25,7,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
60,50,7,0,0.175,36,24,0,1,2,4,2,4,0.5,10,10,0
95,25,11,0,0.1,36,24,0,1,2,4,2,4,0.5,10,10,0
55,10,7,0,0.2,36,24,0,1,2,4,2,4,0.5,10,10,0
