"","datetime","set_point_envelope_low","set_point_envelope_high"
"1",0,5,26
"2",1,5,26
"3",2,5,26
"4",3,5,26
"5",4,5,26
"6",5,5,26
"7",6,5,26
"8",7,5,26
"9",8,21,26
"10",9,21,26
"11",10,21,26
"12",11,21,26
"13",12,21,26
"14",13,21,26
"15",14,21,26
"16",15,21,26
"17",16,21,26
"18",17,21,26
"19",18,21,26
"20",19,5,26
"21",20,5,26
"22",21,5,26
"23",22,5,26
"24",23,5,26
